sigle;credits;obligatoire;type_travail
BCM113;1;1;labo
BIO109;1;1;ecrit
BIO500;2;1;ecrit
MCB101;1;1;labo
TSB303;2;1;ecrit
ISN154;3;0;ecrit
ZOO105;1;1;oral 
ZOO306;1;1;ecrit
ZOO307;1;1;labo
BCM104;1;1;ecrit
BOT400;1;1;oral
ECL516;3;1;ecrit
ECL603;1;0;ecrit
ECL406;1;1;oral
ECL510;3;1;oral
ECL515;2;1;terrain
ECL522;3;0;ecrit
GMQ106;3;0;ecrit
ECL535;1;0;ecrit
BOT512;3;1;labo
ECL403;1;1;terrain
ECL527;2;1;terrain
ECL611;1;1;terrain
ECL616;3;1;oral
ECL404;3;1;ecrit
